,Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
97,P1,09/11/2025,20:30,Benfica,Casa Pia,2,2,D,1,0,H,19,7,6,4,8,8,6,2,3,2,0,0,1.13,7.5,13.0
98,P1,09/11/2025,20:30,Sp Braga,Moreirense,2,1,H,1,0,H,11,11,3,1,13,15,5,3,3,2,0,0,1.37,4.75,7.0
99,P1,28/11/2025,20:15,Guimaraes,AVS,4,0,H,3,0,H,11,9,4,1,11,14,7,3,0,1,0,0,1.68,3.6,4.75
100,P1,29/11/2025,15:30,Casa Pia,Alverca,0,2,A,0,0,D,5,10,0,5,9,17,6,4,4,4,1,0,2.35,3.05,3.05
101,P1,29/11/2025,15:30,Moreirense,Famalicao,2,2,D,0,1,A,11,17,6,8,17,22,5,4,4,5,1,0,3.4,3.25,2.1
102,P1,29/11/2025,18:00,Nacional,Benfica,1,2,A,0,0,D,6,31,2,8,10,8,2,11,4,2,0,0,7.0,5.0,1.35
103,P1,29/11/2025,20:30,Gil Vicente,Tondela,0,1,A,0,1,A,15,5,2,2,10,20,12,3,2,0,0,0,1.61,3.5,5.75
104,P1,30/11/2025,15:30,Rio Ave,Santa Clara,1,1,D,1,1,D,9,9,4,3,10,15,1,5,2,3,0,0,2.95,3.05,2.45
105,P1,30/11/2025,18:00,Sp Lisbon,Estrela,4,0,H,3,0,H,19,5,6,3,12,12,5,1,1,0,0,0,1.1,9.0,15.0
106,P1,30/11/2025,20:30,Porto,Estoril,1,0,H,1,0,H,12,11,6,2,14,11,5,4,1,3,0,0,1.22,5.5,12.0
107,P1,01/12/2025,20:15,Arouca,Sp Braga,0,4,A,0,3,A,3,18,1,6,11,9,0,6,4,0,1,0,6.5,3.9,1.49
108,P1,05/12/2025,20:15,Benfica,Sp Lisbon,1,1,D,1,1,D,10,5,4,2,15,20,3,2,2,5,1,0,2.7,3.05,2.65
109,P1,06/12/2025,15:30,Santa Clara,Casa Pia,1,0,H,1,0,H,11,5,3,2,23,12,7,7,5,4,0,0,1.81,3.05,5.0
110,P1,06/12/2025,18:00,AVS,Rio Ave,1,2,A,0,1,A,9,17,5,8,16,16,3,11,6,6,1,0,2.95,3.25,2.35
111,P1,06/12/2025,20:30,Famalicao,Sp Braga,1,2,A,1,1,D,8,21,4,7,10,19,3,9,1,3,0,0,3.3,3.5,2.05
112,P1,07/12/2025,15:30,Estoril,Moreirense,3,3,D,1,1,D,9,8,5,5,16,14,1,5,2,3,0,0,2.05,3.4,3.5
113,P1,07/12/2025,18:00,Alverca,Nacional,1,0,H,0,0,D,10,17,4,3,10,19,2,2,1,1,0,0,2.05,3.2,3.6
114,P1,07/12/2025,18:00,Estrela,Arouca,3,1,H,2,0,H,24,9,9,2,12,14,5,3,1,5,0,2,2.1,3.2,3.5
115,P1,07/12/2025,20:30,Tondela,Porto,0,2,A,0,0,D,11,11,2,6,9,10,2,4,2,1,0,0,11.0,5.75,1.22
116,P1,08/12/2025,20:30,Guimaraes,Gil Vicente,0,0,D,0,0,D,10,6,3,1,15,17,8,4,4,5,0,0,2.75,2.95,2.65
117,P1,13/12/2025,15:30,Casa Pia,Gil Vicente,1,1,D,0,1,A,3,11,1,2,19,8,1,8,3,1,0,0,3.5,2.95,2.15
118,P1,13/12/2025,18:00,Rio Ave,Guimaraes,0,1,A,0,1,A,8,16,2,3,15,15,6,6,4,4,1,0,2.65,3.2,2.55
119,P1,13/12/2025,20:30,Sp Lisbon,AVS,6,0,H,3,0,H,24,7,14,3,11,9,8,1,1,2,0,0,1.05,11.0,21.0
120,P1,14/12/2025,15:30,Famalicao,Estoril,4,0,H,2,0,H,20,10,12,4,10,18,4,9,3,1,0,0,1.76,3.6,4.33
121,P1,14/12/2025,18:00,Moreirense,Benfica,0,4,A,0,1,A,10,10,2,5,19,15,4,4,2,0,0,0,9.0,4.33,1.35
122,P1,14/12/2025,20:30,Arouca,Alverca,1,0,H,0,0,D,18,5,4,1,15,11,8,5,1,4,0,1,2.7,3.2,2.55
123,P1,15/12/2025,17:30,Nacional,Tondela,3,1,H,0,0,D,8,21,4,5,11,17,3,10,5,6,1,1,2.3,3.05,3.05
124,P1,15/12/2025,18:45,Sp Braga,Santa Clara,1,0,H,1,0,H,6,5,3,2,10,15,5,1,1,3,0,0,1.49,3.8,7.0
125,P1,15/12/2025,20:45,Porto,Estrela,3,1,H,1,0,H,20,6,6,1,13,17,4,0,1,5,0,0,1.15,5.75,15.0
126,P1,19/12/2025,20:15,Estoril,Sp Braga,1,0,H,1,0,H,13,12,7,5,12,8,9,5,5,2,0,0,5.25,4.0,1.53
127,P1,20/12/2025,18:00,Gil Vicente,Rio Ave,2,2,D,1,1,D,23,3,5,2,16,16,10,1,3,5,0,1,1.68,3.5,5.0
128,P1,20/12/2025,20:30,Estrela,Moreirense,0,0,D,0,0,D,13,16,3,7,15,19,3,7,2,1,0,0,2.35,3.25,2.85
129,P1,21/12/2025,15:30,AVS,Nacional,2,2,D,2,0,H,16,19,3,6,10,11,9,2,1,0,1,0,3.2,3.3,2.2
130,P1,21/12/2025,18:00,Tondela,Casa Pia,1,2,A,0,0,D,11,12,4,5,10,16,6,4,2,3,0,0,2.15,3.25,3.4
131,P1,21/12/2025,20:30,Santa Clara,Arouca,0,0,D,0,0,D,9,8,5,2,15,14,2,4,2,2,0,0,1.79,3.25,4.75
132,P1,22/12/2025,18:45,Alverca,Porto,0,3,A,0,1,A,8,14,5,6,8,12,4,1,1,1,0,0,9.0,4.75,1.33
133,P1,22/12/2025,20:45,Benfica,Famalicao,1,0,H,1,0,H,9,4,6,2,11,21,5,2,0,1,0,0,1.33,4.5,9.0
134,P1,23/12/2025,20:45,Guimaraes,Sp Lisbon,1,4,A,0,2,A,17,16,5,7,21,14,2,5,3,5,1,0,7.0,4.5,1.39
135,P1,27/12/2025,18:00,Famalicao,Estrela,2,3,A,2,2,D,22,6,5,4,18,16,9,4,3,5,0,0,1.53,3.7,6.0
136,P1,27/12/2025,20:30,Estoril,Alverca,4,1,H,2,0,H,9,12,4,7,12,11,3,7,2,3,0,0,2.15,3.25,3.25
137,P1,28/12/2025,15:30,Arouca,Gil Vicente,2,2,D,2,1,H,9,17,5,5,13,5,4,8,5,2,0,0,3.9,3.2,1.96
138,P1,28/12/2025,15:30,Casa Pia,Guimaraes,0,0,D,0,0,D,5,13,2,2,23,11,2,3,4,2,0,0,3.3,2.95,2.25
139,P1,28/12/2025,18:00,Sp Braga,Benfica,2,2,D,2,1,H,11,14,3,6,14,9,1,5,4,2,1,0,3.3,3.3,2.1
140,P1,28/12/2025,20:30,Sp Lisbon,Rio Ave,4,0,H,1,0,H,23,5,12,0,13,6,8,1,1,1,0,0,1.11,7.0,17.0
141,P1,29/12/2025,20:15,Porto,AVS,2,0,H,0,0,D,18,7,4,1,8,7,7,0,1,1,0,0,1.1,7.0,19.0
142,P1,02/01/2026,18:45,Gil Vicente,Sp Lisbon,1,1,D,0,1,A,19,14,9,4,17,14,8,7,4,4,0,1,7.0,4.1,1.42
