Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
23/11/2024,14:30,Leverkusen,Heidenheim,5,2,H,2.0,2.0,D,20.0,6.0,10.0,3.0,8.0,11.0,6.0,0.0,0.0,0.0,0.0,0.0,1.2,6.5,15.0
23/11/2024,14:30,Stuttgart,Bochum,2,0,H,0.0,0.0,D,15.0,9.0,5.0,2.0,7.0,16.0,7.0,4.0,2.0,3.0,0.0,0.0,1.29,6.0,9.0
23/11/2024,14:30,Wolfsburg,Union Berlin,1,0,H,0.0,0.0,D,10.0,11.0,5.0,4.0,7.0,15.0,8.0,5.0,1.0,2.0,0.0,0.0,2.3,3.3,3.2
23/11/2024,17:30,Ein Frankfurt,Werder Bremen,1,0,H,1.0,0.0,H,15.0,8.0,5.0,1.0,15.0,9.0,5.0,6.0,2.0,2.0,0.0,0.0,1.7,4.1,4.5
24/11/2024,14:30,Holstein Kiel,Mainz,0,3,A,0.0,2.0,A,7.0,18.0,2.0,7.0,11.0,7.0,2.0,6.0,1.0,0.0,0.0,0.0,3.1,3.4,2.3
24/11/2024,16:30,M'gladbach,St Pauli,2,0,H,2.0,0.0,H,15.0,15.0,4.0,3.0,7.0,8.0,5.0,4.0,1.0,0.0,0.0,0.0,1.8,3.8,4.2
29/11/2024,19:30,St Pauli,Holstein Kiel,3,1,H,1.0,0.0,H,11.0,10.0,4.0,3.0,10.0,11.0,4.0,4.0,2.0,5.0,0.0,0.0,1.67,3.75,5.25
30/11/2024,14:30,Augsburg,Bochum,1,0,H,1.0,0.0,H,16.0,7.0,4.0,1.0,8.0,22.0,6.0,1.0,3.0,3.0,0.0,0.0,1.73,4.0,4.5
30/11/2024,14:30,Freiburg,M'gladbach,3,1,H,1.0,0.0,H,17.0,15.0,7.0,4.0,5.0,14.0,4.0,6.0,1.0,1.0,0.0,0.0,1.95,3.8,3.6
30/11/2024,14:30,RB Leipzig,Wolfsburg,1,5,A,0.0,3.0,A,9.0,13.0,4.0,8.0,11.0,6.0,7.0,3.0,2.0,1.0,0.0,0.0,1.7,4.0,4.75
30/11/2024,14:30,Union Berlin,Leverkusen,1,2,A,1.0,1.0,D,8.0,8.0,2.0,3.0,18.0,11.0,1.0,3.0,4.0,2.0,0.0,0.0,4.75,3.7,1.75
30/11/2024,14:30,Werder Bremen,Stuttgart,2,2,D,1.0,1.0,D,20.0,10.0,6.0,4.0,8.0,13.0,11.0,2.0,1.0,1.0,0.0,0.0,3.0,3.75,2.2
30/11/2024,17:30,Dortmund,Bayern Munich,1,1,D,1.0,0.0,H,7.0,14.0,2.0,5.0,11.0,7.0,2.0,3.0,2.0,2.0,0.0,0.0,4.75,4.1,1.67
01/12/2024,14:30,Mainz,Hoffenheim,2,0,H,2.0,0.0,H,18.0,10.0,8.0,2.0,13.0,12.0,8.0,3.0,1.0,3.0,0.0,0.0,2.1,3.4,3.5
