Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
P1,06/11/2022,20:30,Estoril,Benfica,1,5,A,0,3,A,8,18,3,7,13,9,2,11,0,0,0,0,8.5,5.75,1.3
P1,07/11/2022,20:15,Chaves,Santa Clara,0,0,D,0,0,D,13,18,4,2,12,12,4,6,4,4,0,0,2.3,3.25,3.1
P1,12/11/2022,18:00,Arouca,Rio Ave,0,1,A,0,0,D,11,9,0,5,12,15,10,4,5,4,0,0,2.25,3.2,3.25
P1,12/11/2022,20:30,Boavista,Porto,1,4,A,0,1,A,6,24,0,9,16,15,5,4,5,1,1,0,8.5,4.75,1.33
P1,13/11/2022,15:30,Guimaraes,Maritimo,1,0,H,0,0,D,12,6,4,3,12,16,1,6,1,2,0,0,1.66,3.6,5.25
P1,13/11/2022,15:30,Pacos Ferreira,Vizela,0,2,A,0,0,D,14,21,5,9,12,17,9,7,1,4,0,0,3.1,3.2,2.37
P1,13/11/2022,18:00,Benfica,Gil Vicente,3,1,H,2,1,H,17,4,6,2,13,12,6,0,1,1,0,0,1.14,8.5,15.0
P1,13/11/2022,18:00,Casa Pia,Chaves,1,2,A,1,0,H,14,13,4,4,15,12,2,0,4,1,0,0,2.0,3.4,3.75
P1,13/11/2022,18:00,Portimonense,Sp Braga,1,2,A,1,0,H,14,22,5,10,9,8,2,8,2,5,0,2,5.0,3.75,1.66
P1,13/11/2022,20:30,Famalicao,Sp Lisbon,1,2,A,0,2,A,11,21,2,8,14,17,3,5,4,7,0,0,5.5,3.75,1.65
P1,14/11/2022,20:15,Santa Clara,Estoril,3,1,H,2,1,H,15,16,9,1,19,15,6,7,3,1,0,0,2.25,3.2,3.2
P1,23/12/2022,20:15,Rio Ave,Maritimo,1,1,D,1,1,D,19,8,5,1,18,19,5,5,1,1,0,0,2.0,3.5,3.8
