,PH-PA,TH-TA,DGH-DGA,WH-WA,GFH-GFA,MGFH+MGFA,GCH-GCA,MGCH+MGCA,MGFH+MGCA,MGCH+MGFA,GFH-GCA,GCH-GFA,FOH-FOA,FDH-FDA,MFOH+MFOA,MFDH+MFDA,FOH-FDA,FDH-FOA,MFOH+MFDA,MFDH+MFOA,DSH-DSA,MDSH+MDSA,PRT,GLS,R
1710,53.47180556447347,2,-4.0,2.0,1.0,1.5888888888888888,-4.0,2.9333333333333336,2.488888888888889,2.033333333333333,-8.0,5.0,4.5515429101342395,-1.4214285714285708,3.1890754008633264,-2.042773368606702,26.19031524890658,-23.060200910200912,1.0251981669860923,0.12110386527053185,2,0.8555555555555556,0,5.0,-1
1711,-7.732992383653141,-1,3.0,0.5,0.0,1.7181818181818183,-8.0,3.4,2.9,2.2181818181818183,-13.0,5.0,-6.995473979065306,7.33625541125541,2.8292855132483616,-1.6413813459268005,23.929401154401155,-23.58861972221105,0.017933228387774003,1.169970938933787,-1,0.8545454545454545,0,6.0,0
1712,116.42817662848347,18,26.0,4.0,9.0,1.9,-4.0,2.0,2.5999999999999996,1.3,2.0,3.0,14.506240981240982,6.625036075036075,3.6642460317460315,0.06325396825396823,28.570598845598845,-7.439321789321788,2.257810245310245,1.4696897546897545,-3,0.8999999999999999,0,2.0,1
1713,24.50093827500723,3,4.0,3.0,0.0,1.8,-10.0,3.4000000000000004,3.1,2.1,-13.0,3.0,-7.63176268176268,8.372907647907653,3.459684204684205,-2.9660209235209236,32.499098124098126,-31.757953157953157,-0.553401875901876,1.0470651570651575,0,0.8,1,2.0,0
1714,179.06850384311156,22,33.0,4.5,9.0,1.9,-8.0,1.6,2.5999999999999996,0.9,2.0,-1.0,19.56029387279387,4.333297258297259,3.895022893772894,-1.0571176046176045,36.70749805749806,-12.813906926406926,2.1803024753024753,0.6576028138528138,4,1.2000000000000002,1,5.0,1
1715,73.57557142489236,10,26.0,2.5,13.0,3.1,-6.0,1.4,3.2,1.3,12.0,-5.0,13.434740259740257,-0.4593073593073598,4.101049783549783,0.7581673881673883,23.20212842712842,-10.226695526695526,3.1243109668109668,1.734906204906205,-2,0.8,-1,4.0,0
1716,97.68358820184574,15,23.0,4.0,11.0,2.155555555555556,-4.0,1.9222222222222223,2.8222222222222224,1.2555555555555555,5.0,2.0,13.424439775910367,6.773773448773449,3.8800941487706195,-0.48375661375661383,30.9449961802903,-10.746782955606484,1.9333656593950714,1.4629718756189345,-3,1.1777777777777778,1,7.0,1
1717,-88.90620975558204,-5,-8.0,-1.5,-5.0,2.7,6.0,3.6,2.6,3.7,-4.0,5.0,-1.4662587412587413,-9.364249639249639,4.099867632367632,-2.395407647907648,27.06112221112221,-37.89163059163059,1.247129537129537,0.4573304473304469,-2,1.0,0,3.0,1
1718,-100.6086752280695,-12,-7.0,0.5,2.0,1.6,-3.0,3.3,2.7,2.2,-9.0,8.0,-3.404261527945735,2.453787878787879,3.17661662898505,-1.7652849927849927,24.234271284271287,-25.184744933429144,0.4127633477633479,0.9985682884367094,3,1.3,0,0.0,0
1719,-278.9483258879743,-37,-58.0,-5.5,-15.0,3.3,7.0,1.9,1.5,3.7,3.0,-11.0,-24.53445165945167,-13.05458152958153,5.395564713064714,-0.6801767676767678,11.584190809190808,-49.17322399822401,1.783700466200466,2.93168747918748,2,0.4,-1,1.0,-1
