,LocalFavor,VisitFavor,LocalContra,VisitContra,LocalRoja,VisitRoja,LocalAmarilla,VisitAmarilla,LocalCorner,VisitCorner,LocalTiros,VisitTiros,LocalFaltas,VisitFaltas,Resultado,FTG,Corner10,Ambos,UO_0.5,UO_1.5,UO_2.5,UO_3.5,UO_4.5
303,1.4,1.8,1.3,0.9,0.0,0.0,1.0,1.8,5.6,4.7,4.1,4.3,8.6,10.0,0,4,-1,1,1,1,1,1,0
304,1.4,1.2,1.3,1.7,0.0,0.0,2.6,2.3,2.6,4.3,3.7,5.1,12.0,11.2,0,2,1,0,1,1,0,0,0
305,1.4,1.5,1.9,1.6,0.1,0.0,2.0,1.5,5.8,5.6,4.2,5.3,12.3,10.7,0,7,-1,1,1,1,1,1,1
306,2.8,0.9,1.3,1.9,0.0,0.0,0.9,2.5,7.0,3.6,6.5,3.3,9.6,12.1,0,6,-1,1,1,1,1,1,1
307,1.6,1.2,1.5,2.2,0.1,0.1,1.4,2.4,5.6,4.7,4.3,3.4,10.2,11.7,1,3,1,1,1,1,1,0,0
308,1.8,0.9,0.9,1.3,0.1,0.1,1.5,2.3,4.9,3.9,5.2,3.3,8.9,11.9,0,2,1,1,1,1,0,0,0
309,1.1,0.9,1.2,1.6,0.1,0.1,1.7,2.2,5.3,3.9,3.5,3.3,11.5,11.1,0,0,-1,0,0,0,0,0,0
310,1.2,0.6,1.4,2.0,0.1,0.1,1.4,2.0,3.5,4.5,4.2,2.6,11.0,12.5,1,3,-1,1,1,1,1,0,0
311,2.4,0.6,0.9,2.3,0.1,0.0,1.5,1.8,6.8,4.1,5.9,2.5,10.6,11.4,1,5,1,1,1,1,1,1,1
312,1.1,0.8,1.5,1.6,0.0,0.0,1.6,1.3,4.3,5.3,3.8,3.6,10.7,10.4,0,4,1,0,1,1,1,1,0
313,1.9,1.7,0.7,2.0,0.1,0.1,1.5,1.8,8.2,4.5,5.8,4.5,10.9,10.3,1,7,1,1,1,1,1,1,1
314,1.0,1.0,1.1,1.4,0.2,0.1,2.4,2.4,5.3,4.5,3.9,3.6,11.9,12.0,1,2,1,0,1,1,0,0,0
315,1.7,1.3,1.1,1.3,0.0,0.0,1.9,2.8,4.8,4.2,4.6,3.6,10.1,11.5,1,1,0,0,1,0,0,0,0
316,1.4,1.5,1.9,2.2,0.1,0.0,2.0,1.6,5.8,3.6,4.2,3.8,12.3,10.6,0,2,-1,1,1,1,0,0,0
